Auction_Date,generation_type,Name,Volume_Assigned,Volume_Offered,Price,Min_Price,Max_Price,Total_Number_of_Winners,Number_of_Participants
2019-08-29,WIND,Production from Q1/2019 (01/01/2019-31/03/2019),263889,263889,0.31,0.3,0.4,7,9
2019-08-30,WIND,Production from Q2/2019 (01/04/2019-30/06/2019),194049,194049,0.91,0.3,1.2,2,7
2019-10-18,WIND,Production from Q3/2019 (01/07/2019-30/09/2019),166779,166779,0.34,0.32,1.43,3,5
2020-01-21,WIND,Production from Q4/2019 (01/10/2019-31/12/2019),274482,274482,0.36,0.17,1.61,4,4
2020-03-16,BIOMASS,Production 01/01/2020-29/02/2020,69227,69227,1.11,0.5,1.49,2,4
2020-03-16,WIND,Production 01/01/2020-29/02/2020 (Comm. date 12-2009 to 12-2014),125092,125092,0.2,0.2,0.5,2,2
2020-03-16,WIND,Production 01/01/2020-29/02/2020 (Comm. date 12-2015 to 12-2019),102029,102029,1.01,0.5,1.19,2,4
2020-05-20,BIOMASS,Production 01/03/2020-30/04/2020,64486,64486,1.5,0.51,2.18,4,5
2020-05-20,WIND,Production 01/03/2020-30/04/2020 (Comm. date 12-2009 to 12-2014),143961,143961,0.17,0.17,0.3,2,2
2020-05-20,WIND,Production 01/03/2020-30/04/2020 (Comm. date 12-2015 to 12-2019),147806,147806,1.21,0.5,1.7,3,7
2020-07-21,WIND,Production 01/05/2020-30/06/2020 (Comm. date 12-2009 to 12-2014),97861,97861,0.16,0.15,0.16,1,3
2020-07-21,WIND,Production 01/05/2020-30/06/2020 (Comm. date 12-2015 to 12-2019),142823,142823,0.86,0.3,1.21,3,4
2020-07-21,BIOMASS,Production 01/01/2020-30/06/2020 (Comm. date 09-2010 to 05-2014),6351,6351,0.14,0.13,0.42,2,4
2020-07-21,BIOMASS,Production 01/05/2020-30/06/2020 (Comm. date 06-2015 to 05-2020),73197,73197,1.52,0.5,2.11,2,4
2020-09-18,WIND,Production 01/07/2020-31/08/2020 (Comm. date 12-2015 to 05-2020),135855,135855,1.11,0.31,1.23,2,5
2020-09-18,WIND,Production 01/07/2020-31/08/2020 (Comm. date 12-2009 to 12-2014),73893,73893,0.12,0.11,0.23,2,5
2020-09-18,BIOMASS,Production 01/07/2020-31/08/2020 (Comm. date 06-2015 to 08-2020),65175,65175,1.35,0.81,2.05,3,4
2020-11-19,WIND,Production 01/09/2020-31/10/2020 (Comm. date 12-2015 to 05-2020),132440,132440,0.83,0.45,1.21,2,4
2020-11-19,WIND,Production 01/09/2020-31/10/2020 (Comm. date 12-2009 to 12-2014),91791,91791,0.11,0.11,0.12,2,2
2020-11-19,BIOMASS,Production 01/09/2020-31/10/2020 (Comm. date 06-2015 to 08-2020) - inst. cap. less than 5 MW,43850,43850,1.61,1.15,1.63,2,4
2020-11-19,BIOMASS,Production 01/09/2020-31/10/2020 (Comm. date 12-2015 to 09-2020) - inst. cap. 5 MW and more,30468,30468,0.81,0.63,0.82,2,2
2021-01-21,WIND,Production 01/11/2020-31/12/2020 (Comm. date 12-2015 to 05-2020),"174,625","174,625",0.65,0.35,1.21,3,4
2021-01-21,WIND,Production 01/11/2020-31/12/2020 (Comm. date 12-2010 to 12-2014),"100,495","100,495",0.09,0.09,0.09,1,1
2021-01-21,BIOMASS,Production 01/11/2020-31/12/2020 (Comm. date 12-2015 to 09-2020) - inst. cap. 5 MW and more,"33,244","33,244",0.55,0.55,0.56,2,2
2021-01-21,BIOMASS,Production 01/11/2020-31/12/2020 (Comm. date 06-2015 to 08-2020) - inst. cap. less than 5 MW,"50,012","50,012",1.56,1.01,1.68,3,4
2021-01-21,BIOMASS,Production 01/07/2020-31/12/2020 (Comm. date 09-2011 to 05-2014),"2,574","2,574",0.25,0.08,0.25,1,2
2021-03-19,BIOMASS,Production 01/01/2021-28/02/2021 (Comm. date 06-2015 to 08-2020) - inst. cap. less than 5 MW,"48,108","48,108",1.90,0.87,1.91,2,5
2021-03-19,BIOMASS,Production 01/01/2021-28/02/2021 (Comm. date 12-2015 to 09-2020) - inst. cap. 5 MW and more,"32,444","32,444",0.17,0.17,0.18,4,4
2021-03-19,WIND,Production 01/01/2021-28/02/2021 (Comm. date 12-2010 to 12-2014),"115,080","115,080",0.20,0.12,0.45,3,9
2021-03-19,WIND,Production 01/01/2021-28/02/2021 (Comm. date 12-2015 to 05-2020),"195,330","195,330",0.21,0.17,0.28,3,9
2021-04-21,BIOMASS,Production 01/03/2021-31/03/2021 (Comm. date 06-2015 to 08-2020) - inst. cap. less than 5 MW,"24,961","24,961",2.11,0.40,2.11,1,8
2021-04-21,BIOMASS,Production 01/03/2021-31/03/2021 (Comm. date 12-2015 to 09-2020) - inst. cap. 5 MW and more,"15,400","15,400",0.28,0.14,0.28,1,8
2021-04-21,WIND,Production 01/03/2021-31/03/2021 (Comm. date 12-2015 to 05-2020),"103,100","103,100",0.27,0.15,0.27,2,9
2021-04-21,WIND,Production 01/03/2021-31/03/2021 (Comm. date 08-2011 to 12-2014),"61,091","61,091",0.22,0.15,0.22,2,9
2021-05-19,BIOMASS,Production 01/04/2021-30/04/2021 (Comm. date 06-2015 to 08-2020) - inst. cap. less than 5 MW,"23,394","23,394",2.38,1.10,2.93,2,7
2021-05-19,BIOMASS,Production 01/04/2021-30/04/2021 (Comm. date 12-2015 to 09-2020) - inst. cap. 5 MW and more,"16,771","16,771",0.51,0.20,0.61,2,8
2021-05-19,WIND,Production 01/04/2021-30/04/2021 (Comm. date 01-2012 to 12-2014),"53,377","53,377",0.47,0.17,0.51,2,8
2021-05-19,WIND,Production 01/04/2021-30/04/2021 (Comm. date 12-2015 to 05-2020),"88,006","88,006",0.51,0.20,0.61,4,10
2021-07-22,BIOMASS,Production 01/05/2021-30/06/2021 (Comm. date 06-2015 to 05-2021) - inst. cap. less than 5 MW,"48,103","48,103",3.25,1.15,3.52,2,7
2021-07-22,BIOMASS,Production 01/05/2021-30/06/2021 (Comm. date 12-2015 to 09-2020) - inst. cap. 5 MW and more,"33,796","33,796",0.45,0.25,0.5,3,9
2021-07-22,WIND,Production 01/05/2021-30/06/2021 (Comm. date 12-2010 to 12-2014),"71,789","71,789",0.43,0.22,0.51,2,9
2021-07-22,WIND,Production 01/05/2021-30/06/2021 (Comm. date 12-2015 to 05-2020),"113,363","113,363",0.49,0.25,0.63,6,12
2021-09-22,BIOMASS,Production 01/07/2021-31/08/2021 (Comm. date 06-2015 to 05-2021) - inst. cap. less than 5 MW,"54,405","54,405",2.76,1.33,4.5,3,4
2021-09-22,BIOMASS,Production 01/07/2021-31/08/2021 (Comm. date 12-2015 to 07-2021) - inst. cap. 5 MW and more,"32,160","32,160",0.76,0.35,0.76,1,5
2021-09-22,WIND,Production 01/07/2021-31/08/2021 (Comm. date 02-2012 to 12-2014),"59,406","59,406",0.78,0.30,0.8,2,8
2021-09-22,WIND,Production 01/07/2021-31/08/2021 (Comm. date 12-2015 to 05-2020),"134,540","134,540",0.78,0.33,0.89,3,7
2021-11-23,BIOMASS,Production 01/09/2021-31/10/2021 (Comm. date 06-2015 to 05-2021) - inst. cap. less than 5 MW,"57,958","57,958",2.21,1.00,3.4,3,3
2021-11-23,BIOMASS,Production 01/09/2021-31/10/2021 (Comm. date 12-2015 to 07-2021) - inst. cap. 5 MW and more,"40,160","40,160",0.58,0.42,0.67,2,4
2021-11-23,WIND,Production 01/09/2021-31/10/2021 (Comm. date 12-2015 to 05-2020),"187,222","187,222",0.7,0.35,1,6,9
2021-11-23,WIND,Production 01/09/2021-31/10/2021 (Comm. date 02-2012 to 12-2014),"62,263","62,263",0.67,0.35,1,4,7
2022-02-21,BIOMASS,Production 01/11/2021-31/12/2021 (Comm. date 06-2015 to 12-2020) - inst. cap. less than 5 MW,"63,603","63,603",1.51,0.70,1.91,2,7
2022-02-21,BIOMASS,Production 01/11/2021-31/12/2021 (Comm. date 12-2015 to 07-2021) - inst. cap. 5 MW and more,"40,594","40,594",1.06,0.70,1.1,3,6
2022-02-21,WIND,Production 01/11/2021-31/12/2021 (Comm. date 02-2012 to 12-2014),"112,827","112,827",1.15,0.60,1.56,2,10
2022-02-21,WIND,Production 01/11/2021-31/12/2021 (Comm. date 12-2015 to 05-2020),"220,872","220,872",1.36,0.70,1.56,2,8
2022-02-21,BIOMASS,Production 01/01/2022-31/01/2022 (Comm. date 06-2015 to 12-2020) - inst. cap. less than 5 MW,"32,721","32,721",2.35,1.00,2.5,2,7
2022-02-21,BIOMASS,Production 01/01/2022-31/01/2022 (Comm. date 12-2015 to 07-2021) - inst. cap. 5 MW and more,"20,912","20,912",2.2,1.00,2.23,2,6
2022-02-21,WIND,Production 01/01/2022-31/01/2022 (Comm. date 12-2015 to 05-2020),"101,823","101,823",2.36,1.00,2.4,2,9
2022-04-22,WIND,Production 01/02/2022-31/03/2022 (Comm. date 12-2015 to 05-2020),"195,840","195,840",1.69,1.26,1.91,6,8
2022-04-22,WIND,Production 01/02/2022-28/02/2022 (Comm. date 08-2013 to 12-2014),"15,678","15,678",1.66,1.26,1.81,4,7
2022-04-22,BIOMASS,Production 01/02/2022-31/03/2022 (Comm. date 06-2015 to 03-2022) - inst. cap. less than 5 MW,"61,137","61,137",2.58,1.51,2.58,2,5
2022-07-25,BIOMASS,Production 01/04/2022-30/06/2022 (Comm. date 06-2015 to 03-2022) - inst. cap. less than 5 MW,"87,301","87,301",3.31,2.11,3.77,2,7
2022-07-25,WIND,Production 01/04/2022-30/06/2022 (Comm. date 12-2015 to 05-2020),"196,068","196,068",2.3,1.76,2.4,2,9
2022-07-25,WIND,Production 01/04/2022-30/06/2022 (Comm. date 02-2012 to 12-2014),"50,810","50,810",2.21,1.40,2.32,3,11
2022-10-25,WIND,Production 01/07/2022-30/09/2022 (Comm. date 12-2014 to 05-2020),"212,987","212,987",5.48,5.01,5.61,3,8
2022-10-25,BIOMASS,Production 01/07/2022-30/09/2022 (Comm. date 06-2015 to 03-2022) - inst. cap. less than 5 MW,"81,660","81,660",5.7,4.60,5.85,3,7
2023-04-25,WIND,Production 01/12/2022-31/12/2022 (Comm. date 12-2019 to 05-2020),"31,122","31,122",6.15,4.60,7.10,3,4
2023-04-25,BIOMASS,Production 01/01/2023-31/03/2023 (Comm. date 06-2015 to 03-2022) - inst. cap. less than 5 MW,"89,765","89,765",7.10,5.60,8.00,3,6
2023-04-25,WIND,Production 01/01/2023-31/03/2023 (Comm. date 05-2018 to 05-2020),"127,448","127,448",6.91,5.31,7.68,4,8
2023-05-17,BIOGAS,ENNA - Production 01/12/2022-31/12/2022 (Comm. date 12/2015 to 05/2019) - inst. cap. less than 3 MW,"4,188","4,188",8.01,5.16,8.01,1,5
2023-05-17,BIOGAS,ENNA - Production 01/01/2023-31/03/2023 (Comm. date 04/2012 to 05/2019) - inst. cap. less than 3 MW,"19,476","19,476",8.01,6.72,8.01,1,6
2023-05-17,BIOMASS,ENNA - Production 01/11/2022-31/12/2022 (Comm. date from 09/2011) - inst. cap. less than 5 MW,"2,758","2,758",7.15,4.11,7.15,1,7
2023-05-17,BIOMASS,ENNA - Production 01/01/2023-31/03/2023 (Comm. date from 09/2011) - inst. cap. less than 5 MW,"6,529","6,529",7.62,5.10,7.62,1,8
2023-05-17,WIND,ENNA - Production 01/02/2023-31/03/2023 (Comm. date from 02/2012),"2,494","2,494",7.51,5.02,7.51,1,8
2023-07-25,WIND,HROTE - Production 01/04/2023-30/06/2023 (Comm. date 12-2014 to 05-2020),"196,769","196,769",6.15,5.00,6.50,3,9
2023-10-04,BIOGAS,ENNA - Croatia - Production 01/07/2023-31/08/2023 (Comm. date from 04/2012 to 05/2019) - inst. cap. less than 3 MW,"5,853","5,853",4.61,4.51,4.61,2,5
2023-10-04,BIOGAS,ENNA - Croatia - Production 01/04/2023-30/06/2023 (Comm. date from 04/2012 to 05/2019) - inst. cap. less than 3 MW,"14,802","14,802",4.61,4.46,4.61,1,4
2023-10-04,BIOGAS,ENNA - Croatia - Production 01/03/2023-31/03/2023 (Comm. date from 01/2017) - inst. cap. less than 3 MW,259,259,4.61,4.51,4.61,1,4
2023-10-04,BIOMASS,ENNA - Croatia - Production 01/07/2023-31/08/2023 (Comm. date from 09/2011) - inst. cap. less than 5 MW,"4,050","4,050",4.78,4.51,4.78,1,6
2023-10-04,BIOMASS,ENNA - Croatia - Production 01/04/2023-30/06/2023 (Comm. date from 09/2011) - inst. cap. less than 5 MW,"6,027","6,027",4.78,4.41,4.78,1,6
2023-10-04,WIND,ENNA - Croatia - Production 01/07/2023-31/08/2023 (Comm. date from 09/2010 to 02/2012),"16,921","16,921",4.78,4.54,4.78,1,6
2023-10-04,WIND,ENNA - Croatia - Production 01/04/2023-30/06/2023 (Comm. date  from 09/2010 to 02/2012),"10,383","10,383",4.73,4.26,4.73,1,7
2023-10-04,HYDRO,ENERGOVIA - Bulgaria - Production 01/01/2023-31/08/2023 (Comm. date  from 03/2015),0,"1,762",0.00,0.00,0.00,0,0
2023-10-25,WIND,HROTE - Croatia - Production 01/07/2023-30/09/2023 (Comm. date 07-2014 to 05-2020),"173,605","173,605",3.56,2.00,7.00,6,12
2023-10-25,HYDRO,ENERGOVIA - Bulgaria - Production 01/01/2023-30/09/2023 (Comm. date  from 03/2015),0,"1,762",-,-,-,0,0
2024-01-25,WIND,HROTE - Croatia - Production 01/10/2023-31/12/2023 (Comm. date 12-2015 to 05-2020),"191,901","191,901",1.38,1.00,4.00,5,8
2024-02-22,BIOMASS,ENNA - Croatia - Production 01/09/2023-30/09/2023 (Comm. date from 09/2011) - inst. cap. less than 5 MW,"2,017","2,017",1.07,0.91,1.07,1,3
2024-02-22,BIOMASS,ENNA - Croatia - Production from 01/10/2023-31/12/2023 (Comm. date from 09/2011) - inst. cap. less than 5 MW,"6,585","6,585",1.07,0.91,1.07,1,4
2024-02-22,BIOGAS,ENNA - Croatia - Production 01/09/2023-30/09/2023 (Comm. date from 04/2012 to 09/2018) - inst. cap. less than 3 MW,"2,027","2,027",0.91,0.91,0.91,3,3
2024-02-22,BIOGAS,ENNA - Croatia - Production from 01/10/2023-31/12/2023  (Comm. date from 04/2012 to 09/2018) - inst. cap. less than 3 MW,"8,715","8,715",0.91,0.91,0.91,3,3
2024-02-22,WIND,ENNA - Croatia - Production 01/09/2023-30/09/2023 (Comm. date from 09/2010 to 02/2012),"9,222","9,222",1.07,1.00,1.07,1,3
2024-02-22,WIND,ENNA - Croatia - Production 01/10/2023-31/12/2023 (Comm. date from 09/2010 to 02/2012),"30,349","30,349",1.07,1.01,1.07,1,3
2024-02-22,HYDRO,ENERGOVIA - Bulgaria - Production 01/03/2023-31/08/2023 (Comm. date  from 03/2015),0,"1,486",0,0.00,0.00,0,0
2024-04-26,HYDRO,HEP - Croatia - Production 01/01/2024-29/02/2024 (Comm. date 05/2016),"100,000","100,000",1.37,1.26,1.46,2,9
