Auction_Date,generation_type,Total_Volume_Offered,Total_Volume_Assigned,Total_Number_of_Winners,Weighted_Avg_Price
2019-09-18,Solar,396334.0,396334.0,59.0,0.68
2019-09-18,Wind,3094471.0,3094471.0,102.0,0.42
2019-09-18,Hydro,486441.0,486441.0,72.0,0.31
2019-09-18,Thermal,470959.0,470959.0,36.0,0.38
2019-10-23,Wind,1873527.0,1873527.0,80.0,0.53
2019-10-23,Hydro,529582.0,529582.0,67.0,0.33
2019-10-23,Solar,495724.0,495724.0,90.0,0.65
2019-10-23,Thermal,431120.0,431120.0,44.0,0.32
2019-11-20,Wind,1526307.0,1526307.0,101.0,0.31
2019-11-20,Hydro,253124.0,253124.0,45.0,0.28
2019-11-20,Solar,521420.0,521420.0,72.0,0.41
2019-11-20,Thermal,475293.0,475293.0,56.0,0.24
2019-12-18,Wind,1223663.0,1223663.0,54.0,0.23
2019-12-18,Solar,198179.0,198179.0,36.0,0.2
2019-12-18,Thermal,220905.0,220905.0,15.0,0.14
2019-12-18,Hydro,72986.0,72986.0,24.0,0.24
2020-01-21,Wind,1553776.0,582919.0,39.0,0.15
2020-01-21,Hydro,134232.0,67349.0,21.0,0.17
2020-01-21,Solar,120095.0,120095.0,26.0,0.12
2020-01-21,Thermal,220748.0,49013.0,11.0,0.11
2020-02-19,Wind,1527491.0,596181.0,37.0,0.15
2020-02-19,Hydro,267259.0,68710.0,17.0,0.21
2020-02-19,Solar,67487.0,67487.0,34.0,0.13
2020-02-19,Thermal,223392.0,24132.0,9.0,0.1
2020-03-19,Thermal,235494.0,4000.0,1.0,0.1
2020-03-19,Solar,64655.0,64655.0,22.0,0.3
2020-03-19,Hydro,330795.0,26508.0,14.0,0.2
2020-03-19,Wind,2112490.0,302634.0,36.0,0.2
2020-04-22,Wind,1822793.0,1822793.0,23.0,0.25
2020-04-22,Hydro,270852.0,270852.0,34.0,0.16
2020-04-22,Solar,75144.0,75144.0,38.0,0.16
2020-04-22,Thermal,234171.0,234171.0,20.0,0.1
2020-05-27,Wind,2560547.0,2560547.0,53.0,0.2
2020-05-27,Hydro,277667.0,277667.0,34.0,0.17
2020-05-27,Solar,114032.0,114032.0,34.0,0.19
2020-05-27,Thermal,224757.0,224757.0,13.0,0.17
2020-06-17,Wind,1943815.0,812528.0,37.0,0.21
2020-06-17,Solar,173341.0,173341.0,43.0,0.2
2020-06-17,Thermal,235400.0,2947.0,1.0,0.25
2020-06-17,Hydro,340267.0,62152.0,19.0,0.24
2020-07-22,Solar,217507.0,217507.0,41.0,0.21
2020-07-22,Wind,980912.0,980912.0,48.0,0.21
2020-07-22,Hydro,258132.0,102363.0,18.0,0.23
2020-07-22,Thermal,232176.0,27811.0,4.0,0.21
2020-08-19,Wind,1137027.0,190612.0,23.0,0.26
2020-08-19,Hydro,318973.0,33952.0,12.0,0.27
2020-08-19,Solar,263891.0,85622.0,23.0,0.26
2020-08-19,Thermal,232514.0,319.0,1.0,0.19
2020-09-23,Wind,892557.0,892557.0,53.0,0.17
2020-09-23,Hydro,275260.0,93621.0,16.0,0.18
2020-09-23,Thermal,221088.0,0.0,0.0,
2020-09-23,Solar,255441.0,255441.0,34.0,0.17
2020-10-21,Solar,309880.0,59881.0,15.0,0.21
2020-10-21,Thermal,235860.0,0.0,0.0,
2020-10-21,Hydro,175461.0,38549.0,12.0,0.17
2020-10-21,Wind,927083.0,270401.0,26.0,0.16
2020-11-18,Wind,884099.0,253675.0,28.0,0.16
2020-11-18,Hydro,120922.0,57793.0,12.0,0.14
2020-11-18,Solar,268704.0,113538.0,23.0,0.17
2020-11-18,Thermal,216693.0,450.0,1.0,0.2
2020-12-16,Thermal,207156.0,207156.0,13.0,0.11
2020-12-16,Solar,211114.0,211114.0,31.0,0.14
2020-12-16,Wind,919703.0,919703.0,39.0,0.11
2020-12-16,Hydro,110989.0,110989.0,16.0,0.11
2021-01-20,Wind,1828435.0,664461.0,33.0,0.0
2021-01-20,Hydro,242241.0,78138.0,11.0,0.0
2021-01-20,Solar,128541.0,124003.0,30.0,0.0
2021-01-20,Thermal,195017.0,175.0,1.0,0.0
2021-02-17,Wind,1442949.0,825599.0,28.0,0.11
2021-02-17,Hydro,207263.0,28241.0,9.0,0.12
2021-02-17,Solar,123125.0,13373.0,29.0,0.23
2021-02-17,Thermal,217886.0,175.0,1.0,0.36
2021-03-17,Thermal,235991.0,11070.0,3.0,0.28
2021-03-17,Hydro,289613.0,95020.0,22.0,0.12
2021-03-17,Wind,2017489.0,2017489.0,43.0,0.18
2021-03-17,Solar,61463.0,61463.0,33.0,0.12
2021-04-21,Hydro,316785.0,316785.0,35.0,0.31
2021-04-21,Solar,83714.0,83714.0,37.0,0.31
2021-04-21,Thermal,236553.0,236553.0,18.0,0.24
2021-04-21,Wind,1749434.0,1749433.0,57.0,0.34
2021-05-19,Wind,2813581.0,2813581.0,65.0,0.51
2021-05-19,Hydro,493443.0,493443.0,37.0,0.55
2021-05-19,Solar,293431.0,293431.0,40.0,0.56
2021-05-19,Thermal,322778.0,322778.0,17.0,0.44
2021-06-16,Wind,2445221.0,2445221.0,78.0,0.4
2021-06-16,Hydro,436686.0,436686.0,31.0,0.38
2021-06-16,Solar,578135.0,578135.0,66.0,0.41
2021-06-16,Thermal,356820.0,356820.0,17.0,0.3
2021-07-21,Wind,1954241.0,1954241.0,71.0,0.44
2021-07-21,Hydro,344927.0,344927.0,37.0,0.45
2021-07-21,Thermal,336883.0,336883.0,23.0,0.36
2021-07-21,Solar,684578.0,684578.0,82.0,0.45
2021-08-18,Wind,2633583.0,2633583.0,70.0,0.0
2021-08-18,Hydro,497051.0,497051.0,42.0,0.0
2021-08-18,Solar,713550.0,713550.0,82.0,0.0
2021-08-18,Thermal,370482.0,370482.0,21.0,0.0
2021-09-22,Wind,883258.0,883258.0,35.0,0.0
2021-09-22,Solar,727063.0,727063.0,25.0,0.0
2021-09-22,Thermal,355495.0,355495.0,19.0,0.0
2021-09-22,Hydro,389670.0,389670.0,41.0,0.0
2021-10-20,Wind,1879345.0,1879344.0,70.0,0.0
2021-10-20,Hydro,442855.0,442855.0,36.0,0.0
2021-10-20,Solar,890064.0,890064.0,71.0,0.0
2021-10-20,Thermal,549191.0,549191.0,26.0,0.0
2021-11-17,Wind,1882517.0,1882517.0,69.0,0.0
2021-11-17,Hydro,302317.0,302317.0,28.0,0.0
2021-11-17,Thermal,511248.0,511248.0,31.0,0.0
2021-11-17,Solar,930312.0,930312.0,68.0,0.0
2021-12-16,Thermal,481280.0,481280.0,26.0,0.0
