Auction_Date,Price,Min_Price,Max_Price,Volume_Assigned,Volume_Offered,generation_type,production_period_Year,production_period_Month
2012-06-20,0.061,0.03,0.1,507000.0,5999397.0,Other,2012,
2012-06-20,0.042,0.04,0.07,44000.0,88081.0,Wind,2012,
2012-09-20,0.11800000000000001,0.1,0.14,156953.0,156953.0,Wind,2012,
2012-09-20,0.115,0.1,0.14,431501.0,431501.0,Solar,2012,
2012-12-20,0.115,0.11,0.13,184000.0,1406891.0,Other,2012,
2012-12-20,0.11,0.11,0.11,3000.0,46527.0,Wind,2012,
2012-12-20,0.115,0.11,0.13,91000.0,372378.0,Solar,2012,
2013-01-21,0.12,0.12,0.12,1000.0,10233421.0,Solar,2012,
2013-03-20,0.0,0.0,0.0,0.0,0.0,,2012,
2013-09-30,0.23,0.22,0.25,6000.0,3657528.0,Other,2013,
2014-01-20,0.11,0.11,0.11,200000.0,13397397.0,Solar,2013,
2014-03-20,0.07,0.07,0.07,45000.0,5111376.0,Wind,2013,
2014-06-20,0.13,0.13,0.13,1000.0,1070639.0,Hydro,2014,
2014-06-20,0.11,0.11,0.11,57000.0,504490.0,Solar,2014,01
2014-12-22,0.1,0.1,0.1,30000.0,1733780.0,Other,2014,02
2014-12-22,0.08,0.08,0.08,15000.0,1818326.0,Other,2014,01
2014-12-22,0.09,0.09,0.09,190000.0,3841261.0,Hydro,2014,
2014-12-22,0.09,0.09,0.09,50000.0,422371.0,Hydro,2014,02
2014-12-22,0.07,0.07,0.07,11000.0,440120.0,Hydro,2014,01
2014-12-22,0.09,0.09,0.09,40000.0,771991.0,Solar,2014,02
2014-12-22,0.08,0.08,0.08,1000.0,453315.0,Solar,2014,01
2015-01-20,0.08,0.08,0.08,30000.0,1804232.0,Other,2014,01
2015-01-20,0.09,0.09,0.09,30000.0,604885.0,Wind,2014,01
2015-01-20,0.09,0.09,0.09,100000.0,4116395.0,Hydro,2014,
2015-01-20,0.09,0.09,0.09,30000.0,373396.0,Hydro,2014,02
2015-01-20,0.07,0.07,0.07,40000.0,429995.0,Hydro,2014,01
2015-03-20,0.05,0.05,0.05,200000.0,15392805.0,Other,2014,
2015-03-20,0.05,0.05,0.05,504000.0,4022024.0,Wind,2014,
2015-03-20,0.062,0.06,0.07,484000.0,13036636.0,Solar,2014,
2015-06-22,0.14,0.14,0.14,175000.0,572546.0,Solar,2015,01
2015-09-21,0.14,0.14,0.14,51000.0,1211664.0,Other,2015,02
2015-09-21,0.13,0.13,0.13,31000.0,1324664.0,Other,2015,01
2015-09-21,0.15,0.15,0.15,50000.0,1454273.0,Wind,2015,
2015-09-21,0.13,0.13,0.13,30000.0,563477.0,Wind,2015,01
2015-09-21,0.15,0.15,0.15,50000.0,1855377.0,Hydro,2015,
2015-09-21,0.13,0.13,0.13,30000.0,299629.0,Hydro,2015,01
2015-09-21,0.15,0.15,0.15,10000.0,7180931.0,Solar,2015,
2015-09-21,0.14,0.14,0.14,50000.0,636979.0,Solar,2015,02
2015-09-21,0.13,0.13,0.13,230000.0,401863.0,Solar,2015,01
2015-12-21,0.16,0.16,0.16,100000.0,11263550.0,Other,2015,
2015-12-21,0.14100000000000001,0.14,0.15,60000.0,1164438.0,Other,2015,02
2015-12-21,0.132,0.13,0.14,41000.0,1298920.0,Other,2015,01
2015-12-21,0.15,0.15,0.16,1117000.0,1917100.0,Wind,2015,
2015-12-21,0.14,0.14,0.15,230000.0,441361.0,Wind,2015,02
2015-12-21,0.13,0.13,0.14,307000.0,533487.0,Wind,2015,01
2015-12-21,0.156,0.15,0.16,149000.0,2720266.0,Hydro,2015,
2015-12-21,0.15,0.15,0.15,9000.0,281491.0,Hydro,2015,02
