Auction_Date,Production month,Technology,Country,Sell side offered quantity (MWh),Buy side demand quantity (MWh),Traded quantity (MWh),Volume weighted average price (EUR/GO),Lowest buy side bid (EUR/MWh),Highest buy side bid (EUR/MWh),Lowest sell side bid (EUR/MWh),Highest sell side bid (EUR/MWh),Number of auction participants,Number of auction participants with winning bids
2024-12-17,Feb-24,Biomass,PT,"11,956","930,001",-,-,0.17,0.36,0.41,0.41,5,0
2024-12-17,Feb-24,Hydro,IT,"5,479","1,628,006",-,-,0.26,0.37,0.44,0.44,8,0
2024-12-17,May-24,Solar,HU,"6,915","2,197,150","4,928",0.36,0.24,0.36,0.10,0.40,11,5
2024-12-17,Sep-24,Biomass,HU,"30,116","1,434,034","30,116",0.40,0.24,0.42,0.14,0.14,7,3
2024-12-17,Jan-24,Biomass,PT,"22,901","830,001",-,-,0.17,0.36,0.40,0.40,4,0
2024-12-17,Feb-24,Wind,PT,"3,050","1,377,761",-,-,0.24,0.37,0.44,0.44,7,0
2024-12-17,Dec-23,Solar,HU,248,"200,245",248,0.33,0.30,0.33,0.30,0.30,3,2
2024-12-17,Mar-24,Hydro,ES,"5,187","1,887,150",-,-,0.26,0.37,0.43,0.46,9,0
2024-12-17,Feb-24,Wind,IT,"2,099","1,648,006",-,-,0.24,0.36,0.44,0.44,8,0
2024-12-17,Jul-24,Biomass,HU,"11,727","1,215,246",-,-,0.24,0.36,1.10,1.10,6,0
2024-12-17,Apr-24,Solar,HU,"8,401","2,197,150","8,401",0.36,0.24,0.37,0.10,0.36,12,7
2024-12-17,Apr-24,Biomass,HU,"62,578","1,215,246","15,992",0.36,0.24,0.39,0.33,0.80,8,2
2024-12-17,Mar-24,Hydro,FR,711,"1,887,150",-,-,0.24,0.36,0.43,0.43,8,0
2024-12-17,Sep-24,Solar,HU,"359,023","3,035,938","359,023",0.42,0.21,1.00,0.14,0.14,13,7
2024-12-17,Mar-24,Biomass,HU,"69,442","1,180,246","42,623",0.41,0.17,0.42,0.33,0.42,7,3
2024-12-17,Mar-24,Solar,HU,"7,231","1,877,150","7,231",0.36,0.26,0.37,0.10,0.36,10,7
2024-12-17,Sep-24,Geothermal,HU,513,"1,084,525",513,0.33,0.16,0.33,0.14,0.14,7,2
2024-12-17,Mar-24,Hydro,IT,"13,042","1,887,150",-,-,0.24,0.37,0.43,0.43,8,0
2024-12-17,Jan-24,Solar,ES,"15,000","1,070,246",-,-,0.26,0.36,0.41,0.41,5,0
2024-12-17,May-24,Wind,PT,"70,000","1,848,905",-,-,0.24,0.37,0.46,0.46,8,0
2024-12-17,Feb-24,Wind,ES,699,"1,648,006",-,-,0.24,0.36,0.46,0.46,9,0
2024-12-17,Aug-24,Solar,HU,"11,776","2,597,150","10,628",0.37,0.21,0.37,0.10,0.50,13,5
2024-12-17,Jan-24,Solar,HU,"1,910","1,070,246","1,448",0.34,0.26,0.36,0.10,0.36,7,5
2024-12-17,Jan-24,Hydro,FR,"9,737","1,080,246",-,-,0.24,0.33,0.42,0.42,6,0
2024-12-17,Jan-24,Hydro,IT,"3,801","1,080,246",-,-,0.24,0.33,0.42,0.42,6,0
2024-12-17,Apr-24,Hydro,IS,"4,740","1,100,246",-,-,0.26,0.33,0.45,0.45,5,0
2024-12-17,Jun-24,Solar,HU,"9,435","2,297,150","6,005",0.37,0.24,0.37,0.10,1.00,13,5
2024-12-17,Jun-24,Biomass,HU,"31,741","1,215,246",-,-,0.24,0.39,1.00,1.00,6,0
2024-12-17,Feb-24,LandfillGas,HU,351,"850,246",-,-,0.26,0.32,0.41,0.41,4,0
2024-12-17,Sep-24,Hydro,HU,"10,283","2,330,938","10,283",0.37,0.24,0.37,0.14,0.14,9,3
2024-12-17,Jan-24,Wind,FI,"20,000","1,100,246",-,-,0.24,0.39,0.42,0.42,6,0
2024-12-17,Sep-24,Biogas,HU,804,"1,119,838",804,0.33,0.21,0.33,0.14,0.14,6,2
2024-12-17,May-24,Biomass,HU,"53,031","1,215,246","16,781",0.36,0.24,0.39,0.33,0.90,7,2
2024-12-17,Sep-24,Wind,HU,"19,711","2,775,938","19,711",0.37,0.24,0.37,0.14,0.14,11,3
2024-12-17,Feb-24,Hydro,ES,"3,982","1,628,006",-,-,0.26,0.37,0.46,0.46,9,0
2024-12-17,Jan-24,Biomass,HU,"6,024","1,080,246","6,024",0.33,0.17,0.36,0.10,0.10,6,2
2024-12-17,Mar-24,Wind,ES,"1,300","1,907,150",-,-,0.24,0.36,0.43,0.46,9,0
2024-12-17,Apr-24,Hydro,SE,"84,928","1,962,150",-,-,0.15,0.42,0.45,0.45,8,0
2024-12-17,Jul-24,Solar,HU,"7,673","2,597,150","6,345",0.36,0.21,0.37,0.10,0.50,13,5
2024-12-17,Jan-24,Wind,IT,"16,950","1,100,246",-,-,0.24,0.36,0.42,0.42,6,0
2024-12-17,Feb-24,Biogas,PT,445,"600,001",-,-,0.30,0.32,0.41,0.41,3,0
2024-12-17,Feb-24,Biomass,HU,"10,438","1,180,246","10,438",0.36,0.17,0.36,0.10,0.33,7,2
2024-12-17,Jan-24,Wind,ES,"2,779","1,100,246",-,-,0.24,0.36,0.42,0.42,6,0
2024-12-17,Feb-24,Solar,HU,"2,377","1,618,006","2,377",0.36,0.26,0.36,0.10,0.36,9,5
