Auction Date,Technology,Production Period,Volume Offered (MWh),Volume Sold (MWh),Marginal Price (€/MWh),Number of Buyers
28/07/2021,Solar,Aug-20 and Sep-20,"102,929","54,033",0.12,3
28/07/2021,Solar,Apr-21,"32,361","32,361",0.43,3
28/07/2021,Wind,Aug-20 and Sep-20,"1,612,606","1,185,875",0.1,9
28/07/2021,Wind,Apr-21,"507,854","507,854",0.43,5
28/07/2021,Hydro,Aug-20 and Sep-20,"396,231","396,231",0.25,5
28/07/2021,Hydro,Apr-21,"332,511","332,511",0.43,3
28/07/2021,Thermal,Aug-20 and Sep-20,"317,533","193,292",0.12,3
28/07/2021,Thermal,Apr-21,"120,783","120,783",0.41,3
29/09/2021,Solar,Oct-20 and Nov-20,"51,490","51,490",0.55,4
29/09/2021,Solar,May-21,"39,755","39,755",1,3
29/09/2021,Wind,Oct-20 and Nov-20,"1,668,509","1,668,509",0.74,7
29/09/2021,Wind,May-21,"740,020","740,020",1,4
29/09/2021,Hydro,Oct-20 and Nov-20,"598,920","598,920",0.4,7
29/09/2021,Hydro,May-21,"209,465","209,465",1,4
29/09/2021,Thermal,Oct-20 and Nov-20,"290,544","290,544",0.53,4
29/09/2021,Thermal,May-21,"111,561","111,561",1,2
28/10/2021,Solar,Nov-20 and Dec-20,"38,800","38,800",0.45,4
28/10/2021,Solar,Jun-21,"47,755","47,755",0.52,2
28/10/2021,Wind,Nov-20 and Dec-20,"2,244,258","2,244,258",0.23,12
28/10/2021,Wind,Jun-21,"542,349","542,349",0.5,7
28/10/2021,Hydro,Nov-20 and Dec-20,"985,757","985,757",0.37,7
28/10/2021,Hydro,Jun-21,"160,019","160,019",0.52,4
28/10/2021,Thermal,Nov-20 and Dec-20,"159,317","159,317",0.45,4
28/10/2021,Thermal,Jun-21,"109,209","109,209",0.52,2
24/11/2021,Solar,Jan-21,"25,374","25,374",0.75,2
24/11/2021,Solar,Jul-21,"47,391","47,391",0.9,1
24/11/2021,Wind,Jan-21,"1,444,059","1,444,059",0.51,10
24/11/2021,Wind,Jul-21,"766,186","766,186",0.76,3
24/11/2021,Hydro,Jan-21,"732,429","732,429",0.51,8
24/11/2021,Hydro,Jul-21,"198,235","198,235",0.8,2
24/11/2021,Thermal,Jan-21,"300,204","300,204",0.54,6
24/11/2021,Thermal,Jul-21,"240,075","240,075",0.57,3
10/12/2021,Solar,Feb-21,"24,531","24,531",0.5,2
10/12/2021,Solar,Aug-21,"45,454","45,454",0.62,2
10/12/2021,Wind,Feb-21,"1,462,265","1,462,265",0.56,6
10/12/2021,Wind,Aug-21,"538,266","538,266",0.56,6
10/12/2021,Hydro,Feb-21,"1,180,410","1,180,410",0.56,4
10/12/2021,Hydro,Aug-21,"200,507","200,507",0.58,5
10/12/2021,Thermal,Feb-21,"258,578","258,578",0.53,4
10/12/2021,Thermal,Aug-21,"121,667","121,667",0.55,3
26/01/2022,Solar,Mar-21 and Apr-21,"55,372","55,372",0.73,5
26/01/2022,Solar,Sep-21,"36,601","36,601",0.75,5
26/01/2022,Wind,Mar-21 and Apr-21,"1,191,247","1,191,247",0.75,6
26/01/2022,Wind,Sep-21,"605,416","605,416",0.77,6
26/01/2022,Hydro,Mar-21 and Apr-21,"847,521","847,521",0.75,7
26/01/2022,Hydro,Sep-21,"191,098","191,098",0.79,5
26/01/2022,Thermal,Mar-21 and Apr-21,"471,747","471,747",0.72,4
26/01/2022,Thermal,Sep-21,"155,874","155,874",0.72,6
23/02/2022,Solar,"May-21, Jun-21, Jul-21","34,665","34,665",1.15,2
23/02/2022,Solar,Oct-21,"38,442","38,442",1.25,1
23/02/2022,Wind,"May-21, Jun-21, Jul-21","739,291","739,291",1.04,5
23/02/2022,Wind,Oct-21,"902,751","902,751",1.08,7
23/02/2022,Hydro,"May-21, Jun-21, Jul-21","228,092","228,092",1,7
23/02/2022,Hydro,Oct-21,"201,755","201,755",1.12,5
23/02/2022,Thermal,"May-21, Jun-21, Jul-21","464,509","464,509",1,6
23/02/2022,Thermal,Oct-21,"289,271","289,271",1.04,7
23/02/2022,Thermal,"Mar-21, Apr-21","17,482","17,482",1.05,3
30/03/2022,Solar,Aug-21 and Sep-21,"20,174","20,174",0.82,2
30/03/2022,Solar,Nov-21,"32,214","32,214",0.8,3
30/03/2022,Wind,Aug-21 and Sep-21,"340,435","340,435",0.75,5
30/03/2022,Wind,Nov-21,"1,213,009","1,213,009",0.76,8
30/03/2022,Hydro,Aug-21 and Sep-21,"98,309","98,309",0.8,3
