Auction_Date,Price,Volume_Assigned,Volume_Offered,Product,Exchange,Technology,Participants_with_Winning_Bids
2019-08-29,0.31,263889.0,263889.0,Production from Q1/2019 (01/01/2019-31/03/2019),cropex,Wind,7.0
2019-08-30,0.91,194049.0,194049.0,Production from Q2/2019 (01/04/2019-30/06/2019),cropex,Wind,2.0
2019-10-18,0.34,166779.0,166779.0,Production from Q3/2019 (01/07/2019-30/09/2019),cropex,Wind,3.0
2020-01-21,0.36,274482.0,274482.0,Production from Q4/2019 (01/10/2019-31/12/2019),cropex,Wind,4.0
2020-03-16,1.11,69227.0,69227.0,Production 01/01/2020-29/02/2020,cropex,Biomass,2.0
2020-03-16,0.2,125092.0,125092.0,Production 01/01/2020-29/02/2020 (Comm. date 12-2009 to 12-2014),cropex,Wind,2.0
2020-03-16,1.01,102029.0,102029.0,Production 01/01/2020-29/02/2020 (Comm. date 12-2015 to 12-2019),cropex,Wind,2.0
2020-05-20,1.5,64486.0,64486.0,Production 01/03/2020-30/04/2020,cropex,Biomass,4.0
2020-05-20,0.17,143961.0,143961.0,Production 01/03/2020-30/04/2020 (Comm. date 12-2009 to 12-2014),cropex,Wind,2.0
2020-05-20,1.21,147806.0,147806.0,Production 01/03/2020-30/04/2020 (Comm. date 12-2015 to 12-2019),cropex,Wind,3.0
2020-07-21,0.16,97861.0,97861.0,Production 01/05/2020-30/06/2020 (Comm. date 12-2009 to 12-2014),cropex,Wind,1.0
2020-07-21,0.86,142823.0,142823.0,Production 01/05/2020-30/06/2020 (Comm. date 12-2015 to 12-2019),cropex,Wind,3.0
2020-07-21,0.14,6351.0,6351.0,Production 01/01/2020-30/06/2020 (Comm. date 09-2010 to 05-2014),cropex,Biomass,2.0
2020-07-21,1.52,73197.0,73197.0,Production 01/05/2020-30/06/2020 (Comm. date 06-2015 to 05-2020),cropex,Biomass,2.0
2020-09-18,1.11,135855.0,135855.0,Production 01/07/2020-31/08/2020 (Comm. date 12-2015 to 05-2020),cropex,Wind,2.0
2020-09-18,0.12,73893.0,73893.0,Production 01/07/2020-31/08/2020 (Comm. date 12-2009 to 12-2014),cropex,Wind,2.0
2020-09-18,1.35,65175.0,65175.0,Production 01/07/2020-31/08/2020 (Comm. date 06-2015 to 08-2020),cropex,Biomass,3.0
2020-11-19,0.83,132440.0,132440.0,Production 01/09/2020-31/10/2020 (Comm. date 12-2015 to 05-2020),cropex,Wind,2.0
2020-11-19,0.11,91791.0,91791.0,Production 01/09/2020-31/10/2020 (Comm. date 12-2009 to 12-2014),cropex,Wind,2.0
2020-11-19,1.61,43850.0,43850.0,Production 01/09/2020-31/10/2020 (Comm. date 06-2015 to 08-2020) - inst. cap. less than 5 MW,cropex,Biomass,2.0
2020-11-19,0.81,30468.0,30468.0,Production 01/09/2020-31/10/2020 (Comm. date 12-2015 to 09-2020) - inst. cap. 5 MW and more,cropex,Biomass,2.0
2021-01-21,0.65,174625.0,174625.0,Production 01/11/2020-31/12/2020 (Comm. date 12-2015 to 05-2020),cropex,Wind,3.0
2021-01-21,0.09,100495.0,100495.0,Production 01/11/2020-31/12/2020 (Comm. date 12-2010 to 12-2014),cropex,Wind,1.0
2021-01-21,0.55,33244.0,33244.0,Production 01/11/2020-31/12/2020 (Comm. date 12-2015 to 09-2020) - inst. cap. 5 MW and more,cropex,Biomass,2.0
2021-01-21,1.56,50012.0,50012.0,Production 01/11/2020-31/12/2020 (Comm. date 06-2015 to 08-2020) - inst. cap. less than 5 MW,cropex,Biomass,3.0
2021-01-21,0.25,2574.0,2574.0,Production 01/07/2020-31/12/2020 (Comm. date 09-2011 to 05-2014),cropex,Biomass,1.0
2021-03-19,1.9,48108.0,48108.0,Production 01/01/2021-28/02/2021 (Comm. date 06-2015 to 08-2020) - inst. cap. less than 5 MW,cropex,Biomass,2.0
2021-03-19,0.17,32444.0,32444.0,Production 01/01/2021-28/02/2021 (Comm. date 12-2015 to 09-2020) - inst. cap. 5 MW and more,cropex,Biomass,4.0
