Month,Total,Russian Federation,South Africa,United States,Canada,Colombia,Australia,Other
01/01/2004,3.589585,0.301727,1.059709,0,0,0.396707,0.555276,1.276166
01/02/2004,3.128018,0.350186,0.82754,0,0,0.366115,0.332236,1.251941
01/03/2004,3.085981,0.54066,0.689649,0,0,0.289315,0.370512,1.195845
01/04/2004,2.96307,0.37784,1.117348,0,0,0.279391,0.15859,1.029901
01/05/2004,2.958822,0.463682,0.679963,0,0,0.298281,0.415043,1.101853
01/06/2004,2.992306,0.595496,0.534285,0,0,0.248183,0.386619,1.227723
01/07/2004,3.028957,0.530969,0.618808,0,0,0.498474,0.296576,1.08413
01/08/2004,2.840406,0.479341,0.698341,0,0,0.265829,0.260862,1.136033
01/09/2004,3.285619,0.409112,0.901931,0,0,0.249472,0.284474,1.44063
01/10/2004,3.249619,0.622758,0.764056,0,0,0.314604,0.349536,1.198665
01/11/2004,3.279772,0.648122,0.782315,0,0,0.302274,0.418108,1.128953
01/12/2004,2.634278,0.511214,0.630008,0,0,0.20948,0.168299,1.115277
01/01/2005,3.226228,0.417567,0.911256,0,0,0.398075,0.377631,1.121699
01/02/2005,2.890328,0.591809,0.943791,0,0,0.208264,0.301852,0.844612
01/03/2005,2.762195,0.520704,0.680152,0,0,0.208863,0.364562,0.987914
01/04/2005,2.820686,0.630249,0.495804,0,0,0.293203,0.233376,1.168054
01/05/2005,3.409457,0.964087,0.778233,0,0,0.178485,0.475218,1.013434
01/06/2005,2.736786,0.812218,0.610657,0,0,0.143988,0.251098,0.918825
01/07/2005,3.040472,0.636581,0.756796,0,0,0.219071,0.277172,1.150852
01/08/2005,3.031418,0.559855,0.660487,0,0,0.398978,0.302025,1.110073
01/09/2005,2.950013,0.453483,0.461491,0,0,0.350228,0.437439,1.247372
01/10/2005,3.349893,0.689087,0.662037,0,0,0.221524,0.318023,1.459222
01/11/2005,2.814618,0.579627,0.600475,0,0,0.155854,0.371241,1.107421
01/12/2005,3.44564,0.690659,0.743573,0,0,0.291834,0.461743,1.257831
01/01/2006,3.508388,0.658719,0.912295,0.104747,0.190923,0.354157,0.330679,0.956868
01/02/2006,3.52185,0.523032,1.045956,0.090166,0.151792,0.211295,0.483614,1.015995
01/03/2006,3.848335,0.832108,0.725806,0.122151,0.12583,0.367579,0.491544,1.183317
01/04/2006,3.565067,0.584449,0.766414,0.163634,0.160543,0.365278,0.384003,1.140746
01/05/2006,3.479019,0.781783,0.869644,0.127808,0.105989,0.282531,0.428272,0.882992
01/06/2006,3.188282,0.889713,0.498216,0.215045,0.152262,0.260183,0.442409,0.730454
01/07/2006,3.470892,0.886611,0.656184,0.195571,0.139271,0.322106,0.341402,0.929747
01/08/2006,3.677824,0.627331,0.859374,0.232334,0.162295,0.276885,0.40253,1.117075
01/09/2006,3.494142,0.789962,0.490002,0.24674,0.104077,0.50281,0.396009,0.964542
01/10/2006,3.75513,0.668688,0.828242,0.281042,0.103694,0.406072,0.339333,1.128059
01/11/2006,3.017683,0.547925,0.46235,0.135899,0.085764,0.464536,0.297361,1.023848
01/12/2006,3.604933,0.922237,0.455349,0.14341,0.18388,0.370279,0.411119,1.118659
01/01/2007,3.786459,0.523414,0.992954,0.232172,0.160275,0.355139,0.416974,1.105531
01/02/2007,3.038825,0.392863,0.681258,0.21471,0.097974,0.342363,0.365913,0.943744
01/03/2007,4.108909,0.507883,0.785792,0.373617,0.203602,0.721841,0.788104,0.72807
01/04/2007,2.941634,0.554574,0.353708,0.235201,0.132858,0.70088,0.534182,0.430231
01/05/2007,3.188938,0.687147,0.668586,0.233517,0.168948,0.444734,0.420606,0.5654
01/06/2007,3.379897,0.896717,0.483508,0.222367,0.172435,0.597139,0.348201,0.65953
01/07/2007,3.677856,1.023178,0.474893,0,0,0.490069,0.603119,1.086597
01/08/2007,3.41945,0.633989,0.762958,0.196835,0.16638,0.488428,0.557987,0.612873
01/09/2007,3.630061,0.969622,0.543518,0.338244,0.155037,0.375094,0.400167,0.848379
01/10/2007,3.377829,0.927422,0.518067,0.248572,0.106154,0.462925,0.382103,0.732586
01/11/2007,4.100267,1.115524,0.661058,0.352555,0.179553,0.432841,0.343856,1.01488
01/12/2007,3.660019,0.744112,0.762599,0.357273,0.112721,0.511513,0.464953,0.706848
01/01/2008,3.795619,0.808123,1.030863,0.388352,0.129893,0.468062,0.385581,0.584745
01/02/2008,3.707317,0.646773,0.805547,0.68893,0.153144,0.337825,0.321408,0.75369
01/03/2008,3.877311,0.981584,0.797316,0.640262,0.156151,0.27248,0.282384,0.747134
01/04/2008,3.47708,0.718345,0.716682,0.635294,0.08848,0.406167,0.310292,0.60182
01/05/2008,3.221503,0.909751,0.586739,0.368339,0.116537,0.486815,0.222944,0.530378
01/06/2008,3.221355,0.73557,0.636731,0.288399,0.16601,0.373908,0.407104,0.613633
01/07/2008,3.825083,0.840559,0.768328,0.535598,0.149696,0.474561,0.380948,0.675393
01/08/2008,2.975606,0.569023,0.406306,0.322006,0.160473,0.268923,0.56653,0.682345
01/09/2008,3.053194,0.642365,0.483641,0.238482,0,0.294451,0,1.394255
01/10/2008,3.522806,0.65827,0.719313,0.510269,0,0.491846,0,1.143108
01/11/2008,3.872091,0.762195,0.899356,0.36571,0.126329,0.390012,0.524725,0.803764
01/12/2008,3.773836,0.884461,0.964424,0.391129,0,0.402272,0,1.13155
01/01/2009,3.301791,0.611673,0.797709,0.299842,0.151579,0.451582,0.441204,0.548202
01/02/2009,3.424487,0.620497,0.917659,0.377396,0.122163,0.486992,0.408648,0.491132
01/03/2009,3.300962,0.643738,0.770697,0.475805,0.060075,0.440936,0.270839,0.638872
01/04/2009,2.755949,0.597684,0.568329,0.41389,0,0.476496,0.310454,0.389096
01/05/2009,2.505393,0.707274,0.335949,0.334002,0,0.498532,0.210638,0.418998
01/06/2009,2.525692,0.793388,0.241264,0.343178,0.057824,0.394306,0.300421,0.395311
01/07/2009,2.72136,0.813068,0.30773,0.223385,0.127846,0.673466,0.246145,0.32972
01/08/2009,2.376721,0.614365,0.327353,0.406751,0.049705,0.334063,0.293785,0.350699
01/09/2009,2.786901,0.895575,0.168278,0.297422,0.114301,0.555653,0.233462,0.52221
01/10/2009,3.638549,1.199198,0.199922,0.345494,0.053814,0.781653,0.224654,0.833814
01/11/2009,3.858281,1.064353,0.380886,0.492558,0.110095,0.724302,0.343646,0.742441
01/12/2009,3.331624,0.968356,0.3048,0.413537,0.07598,0.668939,0.322809,0.577203
01/01/2010,3.389545,0.883195,0.382917,0.486618,0,0.736533,0,0.900282
01/02/2010,3.767292,1.010649,0.363184,0.639642,0,0.787371,0,0.966446
01/03/2010,3.729811,0.880265,0.360037,0.473303,0.120422,0.768712,0.225057,0.902015
01/04/2010,3.10319,0.840389,0.16273,0.509661,0,0.621572,0,0.968838
01/05/2010,3.529235,1.0853,0.243293,0.51881,0,0.617469,0,1.064363
01/06/2010,3.035851,0.984868,0.1206,0.476979,0.083098,0.443143,0.433925,0.493238
01/07/2010,2.953414,0.73195,0.172425,0.350033,0.12537,0.558085,0.292228,0.723323
