Country,US,Europe,Others,China,India,Japan,South Korea,Other Asia Pacific
1965,11.60727882,22.07623382,14.54555588,4.7905364,1.48826647,2.03948236,0.20733033,1.48501746
1966,12.17104626,21.1789979,14.99046191,5.12464333,1.48469532,2.17358232,0.23475388,1.53576924
1967,11.94118786,20.49454257,15.23265798,4.55523825,1.50942695,2.387501,0.22395194,1.5993571
1968,12.35907555,20.79931961,15.21268386,4.52132511,1.56176901,2.45683813,0.2114334,1.67687349
1969,12.41005516,21.06739593,15.47107317,5.45979643,1.65902829,2.62433767,0.22081183,1.73670181
1970,12.2927742,20.71232474,15.43601822,6.94673872,1.57251191,2.52829885,0.23567498,1.78887463
1971,11.62512302,19.80240375,15.73145411,8.00955772,1.59433997,2.29559779,0.23818704,1.8588993
1972,12.10473061,19.10825109,16.06090315,8.47052479,1.68365908,2.24323726,0.24413231,1.89017543
1973,13.00136375,19.41784861,16.35860337,8.5814743,1.66121781,2.37175727,0.30873463,1.95985056
1974,12.6920414,19.23726574,16.5327954,8.49083042,1.87508202,2.51404452,0.31840613,2.04668764
1975,12.69194889,18.81104263,17.0537504,9.5695591,2.01566243,2.35174775,0.33640939,2.1334455
1976,13.61535168,19.6606429,17.24678718,9.80339241,2.09892535,2.2996459,0.37501168,2.21947579
1977,13.95416641,19.66559406,17.83084688,10.78394032,2.19724631,2.16956425,0.40938529,2.35194471
1978,13.7972784,19.96751267,17.52871352,11.84110737,2.1263907,1.96463668,0.414242,2.44308713
1979,15.07422352,20.82747135,17.7326052,12.24973965,2.25897431,2.09813142,0.49584273,2.59709882
1980,15.45832825,21.26416445,17.61510822,12.74046898,2.37443399,2.43741775,0.55261576,2.71748453
1981,15.94416237,20.86261651,17.85190327,12.67270184,2.67171264,2.73265195,0.63824415,2.79481907
1982,15.35686779,20.98564248,18.41336562,13.4094162,2.64205456,2.60621047,0.64688569,2.96309323
1983,15.93104744,21.25803575,18.62132714,14.36041641,2.80457306,2.56889653,0.69044936,3.14875601
1984,17.10993576,21.23169773,18.87356281,15.61775875,2.94591904,2.87272978,0.83179158,3.34698855
1985,17.51868248,26.09392626,15.13871305,17.05055237,3.08662939,2.99817538,0.92202127,3.57955612
1986,17.30015755,25.86165626,15.48754321,17.82512665,3.31646419,2.85507226,0.97678041,3.72694946
1987,18.04992485,26.10670996,15.89868415,19.34007072,3.6418674,2.91357517,0.98971349,3.88200811
1988,18.8897171,25.57060441,16.11075231,20.77640533,3.90800643,3.14917874,1.05349517,4.08092476
1989,19.11367989,25.25156254,15.61362724,21.76884651,4.24778795,3.15419078,1.02545202,4.25663373
1990,19.21679115,24.03089501,14.85119996,22.08426094,4.5936904,3.26768303,1.05577147,4.2437906
1991,19.03540802,22.64499407,14.07336421,23.16033936,4.88835955,3.24173069,1.08301604,4.34500427
1992,19.16651154,21.3130734,13.64963102,24.2333889,5.17772341,3.18691683,1.0481081,4.32813457
1993,19.88082886,19.89217065,12.79665022,25.81328392,5.36265135,3.2500999,1.14986384,4.40624958
1994,19.95531654,18.75736361,12.22929771,27.51000214,5.53423357,3.40317249,1.19697237,4.34832244
1995,20.1349926,18.57420137,11.91293644,27.85266113,5.87380838,3.52747989,1.23566544,4.48543937
1996,21.05028343,18.04172622,11.87176261,29.1434021,6.04253721,3.62009692,1.43425834,4.61886647
1997,21.49480057,17.54657785,11.55337495,28.55488396,6.31930542,3.71860576,1.51985157,4.92030753
1998,21.7056179,17.06311948,11.26011156,28.33818054,6.5291729,3.54498982,1.56636906,5.01791297
1999,21.6723423,16.11837792,11.27234572,29.15651703,6.46802616,3.7295177,1.65640306,5.35817094
2000,22.63153076,16.5842228,11.50423443,29.56106186,6.88019848,3.99817204,1.85075366,5.83276894
2001,21.96473694,16.4103209,11.6703239,31.08871651,6.93703127,4.09375668,1.969666,6.23371396
2002,21.95443535,16.42378942,11.78258145,34.0828476,7.24604368,4.34846926,2.10965371,6.38816534
2003,22.37233353,17.07679256,12.13317959,40.61901093,7.58874083,4.46853399,2.19073391,7.02121357
2004,22.51793671,16.81999768,12.37994256,47.35900879,8.07670307,4.5867691,2.31115961,7.30078138
2005,22.8490448,16.41981255,11.94198105,55.45838165,8.84200764,4.80533123,2.34932709,7.65753169
2006,22.4988575,17.18579138,12.28285326,60.90617371,9.17951298,4.72371054,2.4280107,7.90842903
2007,22.8018589,17.42418904,12.41520961,66.32608795,10.044981,4.95865297,2.55214643,8.34700363
2008,22.43899727,16.43259424,13.1757532,67.37731171,10.87474346,5.09321117,2.83920836,8.63610336
2009,19.7365551,14.68337708,12.27756719,70.57807159,11.76575661,4.27301073,2.94844556,8.52563212
2010,20.88195038,15.33816043,12.6420808,73.22595215,12.0547657,4.86984444,3.29821587,8.9466833
2011,19.70305634,15.98702238,12.92398272,79.71697235,12.52391052,4.61753893,3.60903931,9.25855318
2012,17.41825676,16.36410162,13.1099548,80.7204895,13.63614559,4.87511683,3.46149993,9.1697028
2013,18.08017731,15.8618809,12.86949536,82.44766998,14.43502426,5.07397699,3.45941401,8.85604187
2014,18.03908157,14.8788641,12.95473984,82.09693146,15.84386444,4.98864794,3.56538582,9.31702181
2015,15.5846796,14.24430662,12.4172223,80.384552,16.16569328,5.03273153,3.58081555,9.8932424
2016,14.25866795,13.74162282,12.6383048,78.0328064,16.51569176,5.02338791,3.4850781,10.26861161
2017,13.86933327,13.28859803,12.65335747,78.89559937,17.05376434,5.09746838,3.69812083,11.0585871
2018,13.28205109,12.97736808,12.56125275,80.46772766,17.93376541,4.99175024,3.8083806,12.00808629
2019,11.34165573,11.06283075,12.61498352,82.52005005,17.96048355,4.90533781,3.58962679,13.0644378
2020,9.20225334,9.5685937,11.59123362,84.24919128,16.97281837,4.57470655,3.17824411,13.00171675
2021,10.57281971,10.44050295,11.82459168,87.5357132,19.27005196,4.9300828,3.2727859,12.86524231
2022,9.91071129,9.92883634,11.87752803,87.83200836,20.02080345,4.91588926,3.14570117,14.10546618
2023,8.19075108,8.17722408,12.04311732,90.65235138,22.09400558,4.53639793,3.0419755,14.41288946
2024,7.9042573,7.62463702,11.90540388,92.15750122,22.9673748,4.53078747,2.8526814,15.11930015

