"Country,Canada,US,Colombia,Russia,South Africa,Australia,China,Indonesia,Mongolia,Others"
"2000,0.786,1.599,0.867,1.116,1.772,4.749,1.893,2.297,0,1.004"
"2001,0.729,1.386,0.966,1.293,1.725,4.931,2.446,1.712,0,1.138"
"2002,0.675,1.037,0.916,1.316,1.753,5.199,2.722,2.04,0,1.076"
"2003,0.645,1.148,1.231,1.728,1.794,5.413,2.787,2.134,0.008,1.873"
"2004,0.671,1.312,1.281,2.145,1.53,5.221,2.088,2.755,0.043,1.414"
"2005,0.66,1.321,1.497,2.374,1.797,5.97,2.179,3.245,0.07,1.376"
"2006,0.675,1.272,1.611,2.427,1.75,6.018,1.999,4.004,0.065,1.632"
"2007,0.782,1.384,1.73,2.844,1.9,6.37,1.814,4.498,0.092,1.86"
"2008,0.776,2.075,1.976,2.363,1.757,6.544,1.567,4.622,0.115,1.799"
"2009,0.724,1.454,1.633,2.453,1.929,6.993,0.594,5.071,0.171,1.728"
"2010,0.916,2.018,1.776,2.505,1.977,7.457,0.586,6.196,0.477,1.479"
"2011,1.033,2.499,2.021,2.856,2.04,7.04,0.442,7.184,0.584,1.941"
"2012,0.986,3.02,2.253,3.232,2.224,7.956,0.278,8.162,0.626,1.877"
"2013,1.134,2.88,2.045,3.551,2.098,9.19,0.283,8.569,0.492,2.405"
"2014,1.001,2.376,2.269,3.779,2.18,9.122,0.355,8.424,0.533,1.72"
"2015,0.856,1.889,2.187,4.107,2.301,9.952,0.453,7.482,0.407,1.633"
"2016,0.782,1.525,2.333,4.466,2.155,9.868,0.508,7.73,0.735,3.59"
"2017,0.945,2.408,2.478,5.09,2.678,9.633,0.403,8.007,0.945,1.728"
"2018,1.033,2.893,2.421,5.761,2.951,9.709,0.407,8.491,0.987,1.339"
"2019,1.023,2.212,2.086,5.792,1.411,9.598,0.313,8.49,1.041,1.757"
"2020,0.954,1.742,1.819,5.66,1.734,9.335,0.177,8.791,0.828,1.994"
"2021,0.957,2.179,1.676,6.033,1.623,9.604,0.28,8.983,0.491,1.687"
"2022,0.973,2.234,1.606,5.321,1.722,8.21,0.312,9.187,0.903,1.9"
"2023,0.986,2.474,1.62,5.456,1.74,8.719,0.312,10.151,1.958,2.018"
"2024,0.918,2.644,1.727,4.812,1.633,9.07,0.343,10.716,2.267,1.864"
