Country,Europe,China,India,Japan,South Korea,Other Asia Pacific,Others
2000,4.507,0.059,0.543,3.936,1.714,1.697,3.627
2001,4.743,0.067,0.5,4.192,1.786,1.896,3.143
2002,4.682,0.276,0.528,4.262,1.868,2.332,2.787
2003,5.464,0.286,0.537,4.487,1.913,2.096,3.976
2004,5.697,0.489,0.555,4.839,2.096,1.421,3.361
2005,5.954,0.667,0.941,4.827,2.025,2.594,3.482
2006,6.264,0.957,1.005,4.7,2.099,2.795,3.634
2007,6.767,1.278,1.28,4.942,2.334,3.009,3.664
2008,6.203,1.045,1.412,5.027,2.637,2.985,4.286
2009,5.008,3.28,1.798,4.219,2.688,2.794,2.961
2010,4.825,4.447,2.001,4.84,3.109,3.184,2.981
2011,5.629,5.2,2.373,4.614,3.384,3.289,3.152
2012,6.09,6.707,3.087,4.867,3.296,3.649,2.917
2013,5.849,7.626,3.657,5.062,3.321,3.614,3.519
2014,6.091,6.623,4.649,5.003,3.429,2.729,3.234
2015,6.033,4.686,4.916,5.049,3.537,3.963,3.083
2016,5.399,5.652,6.462,5.014,3.533,4.601,3.031
2017,5.833,5.868,5.245,5.062,3.886,4.898,3.523
2018,6.34,6.004,5.678,5.002,3.903,5.342,3.724
2019,5.082,6.399,4.702,4.897,3.733,5.221,3.689
2020,3.927,6.613,4.735,4.557,3.284,6.365,3.553
2021,4.445,6.681,4.673,4.845,3.35,6.23,3.289
2022,4.935,5.828,4.991,4.823,3.355,5.527,2.909
2023,3.573,10.159,5.355,4.39,3.189,5.893,2.876
2024,2.987,11.616,5.299,4.351,3.074,6.016,2.65

