"Country,North America,South & Central America,Europe,Middle East & Africa,China,India,Japan,Malaysia,Pakistan,Singapore,South Korea,Taiwan,Thailand,Other Asia Pacific"
"2000,6.53,0,17.64,0,0,0,73.97,0,0,0,20.6,6.18,0,0"
"2001,6.9,0.66,18.85,0,0,0,76,0,0,0,22.85,6.59,0,0"
"2002,6.78,0.66,9.83,0,0,0,60.93,0,0,0,25.03,7.33,0,0"
"2003,14.15,1.09,25.44,0,0,0,81.43,0,0,0,25.58,7.83,0,0"
"2004,18.21,0.9,27.81,0,0,2.75,78.5,0,0,0,30.69,9.56,0,0"
"2005,17.57,0.96,49.81,0,0,6.32,79.55,0,0,0,31.11,4.89,0,0"
"2006,17.2,1.02,54.5,0,1.05,8.36,85.63,0,0,0,34.46,10.28,0,0"
"2007,23.82,1.15,48.02,0,4.05,10.45,91.98,0,0,0,36,11.43,0,0"
"2008,13.52,1.77,57.41,0,4.65,11.29,95.35,0,0,0,38.26,9.61,0,0"
"2009,17.3,3.49,70.48,0.93,8,12.96,88.9,0,0,0,35.34,12.35,0,0"
"2010,20.2,9.17,88.97,3,13.02,11.53,96.4,0,0,0,44.95,14.97,0,0"
"2011,16.84,9.92,89.22,4.43,16.88,17.35,108.59,0,0,0,47.7,16.27,1.06,0"
"2012,11.36,14.57,68.21,4.18,20.07,18.43,119.81,0,0,0,49.66,17.14,1.35,0.09"
"2013,11.45,18.14,51.75,4.32,25.07,17.96,120.42,1.99,0,1.27,55.32,17.19,1.98,0"
"2014,11.47,19.61,52.06,5.32,27.27,19.15,121.81,2.19,0,2.56,51.76,18.58,1.86,0"
"2015,9.97,18.9,56.03,13.72,27,20.03,115.87,2.16,1.49,2.97,45.78,19.56,3.6,0"
"2016,8.3,15.19,56.41,24.46,36.76,24.29,113.55,1.54,3.97,3.2,46.32,20.41,3.87,0"
"2017,9.16,13.45,64.79,21.35,52.93,26.01,113.95,2.02,6.09,4.14,51.4,22.72,5.24,0"
"2018,9.61,14.47,71.21,12.53,73.45,30.5,112.97,1.8,9.39,4.5,60.21,22.9,6.02,0.85"
"2019,8.58,13.12,119.45,9.42,84.75,32.44,105.5,3.33,11.78,4.95,55.62,22.78,6.71,5.73"
"2020,4.64,13.88,116.12,9.09,94.02,36.6,101.74,3.64,10.57,5.73,55.45,24.32,7.52,6.58"
"2021,2.21,24.31,107.48,9.59,110.13,33.83,100.43,2.31,12.23,5.02,64.14,26.74,9.16,7.58"
"2022,1.58,14.16,172.04,9.47,87.04,28.45,97.3,3.91,9.53,5.26,63.79,27.52,11.54,6.94"
"2023,1.63,15.82,167.72,10.16,97.81,30.45,89.52,3.21,10.07,6.83,60.71,27.38,16.09,9.15"
"2024,1.83,17.17,133.52,16.12,105.19,37.93,88.96,4.16,10.96,8.4,63.56,29.07,15.8,11.44"
