Country,Oil,Gas,Coal,Nuclear,Hydro,Solar,Wind,Other,Geothermal & Biomass
1985,272,223,1139,696,503,0,0,40,11
1986,266,229,1175,739,486,0,0,38,13
1987,266,240,1192,769,530,0,0,36,13
1988,250,239,1173,846,567,0,0,41,14
1989,281,264,1210,887,494,0,1,44,14
1990,281,255,1218,894,502,0,1,41,19
1991,278,254,1209,918,513,0,1,38,20
1992,270,245,1159,924,530,0,2,40,21
1993,240,267,1092,961,550,0,2,38,23
1994,232,295,1091,952,557,0,3,38,24
1995,248,320,1094,977,565,0,4,46,26
1996,239,365,1094,1032,548,0,5,44,27
1997,227,416,1051,1042,568,0,7,46,32
1998,232,447,1055,1034,594,0,11,57,36
1999,216,523,1018,1040,598,0,14,62,38
2000,193,557,1073,1049,618,0,22,65,42
2001,189,578,1088,1082,612,0,27,65,45
2002,204,613,1090,1095,564,0,36,65,51
2003,183,671,1152,1105,530,0,45,69,58
2004,162,720,1124,1123,570,1,59,70,69
2005,156,779,1115,1110,572,1,71,77,79
2006,144,792,1158,1108,562,3,83,77,89
2007,125,860,1174,1056,564,4,106,77,99
2008,119,912,1096,1055,593,8,121,74,110
2009,109,848,1004,1005,590,14,135,70,121
2010,93,886,1016,1032,650,23,153,76,137
2011,77,832,1062,1024,570,47,187,74,146
2012,79,710,1113,998,626,72,215,76,163
2013,67,635,1085,986,662,87,248,77,173
2014,64,597,1013,993,644,98,265,78,185
2015,68,612,990,968,636,109,319,81,197
2016,65,717,922,942,651,113,323,84,202
2017,61,788,888,936,584,124,384,84,209
2018,57,733,852,936,647,137,403,81,216
2019,54,774,689,930,628,151,459,77,225
2020,46,759,575,837,655,176,513,77,233
2021,53,800,631,882,655,198,501,80,245
2022,58,750,659,742,564,249,555,83,239
2023,53,637,530,736,639,295,614,80,222
