Country,Belgium,France,Germany,Italy,Netherlands,Spain,Turkey,United Kingdom,Other Europe
2005,0,0,2,0,0,0,0,0,0
2006,0,0,3,0,0,0,0,0,0
2007,0,0,4,0,0,1,0,0,0
2008,0,0,6,0,0,3,0,0,0
2009,0,0,11,1,0,4,0,0,1
2010,1,1,18,4,0,5,0,0,2
2011,2,3,26,13,0,5,0,1,4
2012,3,4,34,17,0,7,0,2,7
2013,3,5,37,18,1,7,0,3,11
2014,3,6,38,19,1,7,0,6,12
2015,3,7,39,19,2,7,0,10,13
2016,3,8,41,19,2,7,1,12,14
2017,4,9,42,20,3,7,3,13,15
2018,4,10,45,20,5,7,5,13,18
2019,5,11,49,21,7,11,6,13,25
2020,6,12,54,22,11,12,7,14,33
2021,6,15,60,23,15,16,8,14,43
2022,7,17,67,25,20,26,9,15,58
2023,9,21,82,30,24,31,11,16,77

